,Current Angular Velocity,Goal Side,Left Observer Detection,Center Observer Detection,Right Observer Detection,Output
106,Sharp Left,Right,Not Detected,Not Detected,Not Detected,Right
107,Left,Front,Close,Close,Close,Left
108,Left,Right,Close,Close,Close,Left
109,Left,Front,Close,Close,Far,Left
110,Left,Right,Close,Close,Far,Left
111,Left,Front,Close,Close,Not Detected,Right
112,Left,Right,Close,Close,Not Detected,Right
113,Left,Front,Close,Far,Close,Left
114,Left,Right,Close,Far,Close,Left
115,Left,Front,Close,Far,Far,Left
116,Left,Right,Close,Far,Far,Left
117,Left,Front,Close,Far,Not Detected,Right
118,Left,Right,Close,Far,Not Detected,Right
119,Left,Front,Close,Not Detected,Close,Left
120,Left,Right,Close,Not Detected,Close,Left
121,Left,Front,Close,Not Detected,Far,Left
122,Left,Right,Close,Not Detected,Far,Left
123,Left,Front,Close,Not Detected,Not Detected,Right
124,Left,Right,Close,Not Detected,Not Detected,Right
125,Left,Front,Far,Close,Close,Left
126,Left,Right,Far,Close,Close,Left
127,Left,Front,Far,Close,Far,Left
128,Left,Right,Far,Close,Far,Left
129,Left,Front,Far,Close,Not Detected,Left
130,Left,Right,Far,Close,Not Detected,Left
131,Left,Front,Far,Far,Close,Left
132,Left,Right,Far,Far,Close,Left
133,Left,Front,Far,Far,Far,Straight
134,Left,Right,Far,Far,Far,Straight
135,Left,Front,Far,Far,Not Detected,Right
136,Left,Right,Far,Far,Not Detected,Right
137,Left,Front,Far,Not Detected,Close,Left
138,Left,Right,Far,Not Detected,Close,Left
139,Left,Front,Far,Not Detected,Far,Straight
140,Left,Right,Far,Not Detected,Far,Straight
141,Left,Front,Far,Not Detected,Not Detected,Right
142,Left,Right,Far,Not Detected,Not Detected,Right
143,Left,Front,Not Detected,Close,Close,Left
144,Left,Right,Not Detected,Close,Close,Left
145,Left,Front,Not Detected,Close,Far,Left
146,Left,Right,Not Detected,Close,Far,Left
147,Left,Front,Not Detected,Close,Not Detected,Left
148,Left,Right,Not Detected,Close,Not Detected,Left
149,Left,Front,Not Detected,Far,Close,Left
150,Left,Right,Not Detected,Far,Close,Left
151,Left,Front,Not Detected,Far,Far,Left
152,Left,Right,Not Detected,Far,Far,Left
153,Left,Front,Not Detected,Far,Not Detected,Straight
154,Left,Right,Not Detected,Far,Not Detected,Straight
155,Left,Front,Not Detected,Not Detected,Close,Left
156,Left,Right,Not Detected,Not Detected,Close,Left
157,Left,Front,Not Detected,Not Detected,Far,Left
158,Left,Right,Not Detected,Not Detected,Far,Left
159,Sharp Right,Left,Close,Close,Close,Left
160,Sharp Right,Left,Far,Close,Close,Left
161,Sharp Right,Left,Not Detected,Close,Close,Left
162,Sharp Right,Left,Close,Far,Close,Left
163,Sharp Right,Left,Far,Far,Close,Left
164,Sharp Right,Left,Not Detected,Far,Close,Left
165,Sharp Right,Left,Close,Not Detected,Close,Straight
166,Sharp Right,Left,Far,Not Detected,Close,Left
167,Sharp Right,Left,Not Detected,Not Detected,Close,Left
168,Sharp Right,Left,Close,Close,Far,Left
169,Sharp Right,Left,Far,Close,Far,Left
170,Sharp Right,Left,Not Detected,Close,Far,Left
171,Sharp Right,Left,Close,Far,Far,Left
172,Sharp Right,Left,Far,Far,Far,Left
